the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.98036176101897 -37.84207961445361),71,Fawkner Park:  FP - Lawn 19 North_SB8_Ct1_S8_F1,Fawkner Park,FP - Lawn 19 North_SB8_Ct1_S8_F1,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,0,0,0
POINT (144.92281116303351 -37.78808540808589),"1,345",Newmarket Reserve:  Newmarket Ct_S,Newmarket Reserve,Newmarket Ct_S,,Y,Y,,N,N,L,Y,N,N,N,"618,421",0,0,0,0
POINT (144.94274377653426 -37.819126879284596),"1,312",Docklands:  All Other Spaces:  Victoria Harbour Promenade West,Docklands,All Other Spaces,Victoria Harbour Promenade West,Y,Y,,N,N,,,N,N,N,"604,120","23,300","612,595",19.96470731,334
POINT (144.92516606031543 -37.79852909808418),173,Holland Park:  HP - Football 2_Cs1,Holland Park,HP - Football 2_Cs1,,Y,N,,N,N,M,Y,Y,N,Y,"105,220",0,0,0,0
POINT (144.9810169487427 -37.81235139096792),115,Fitzroy Gardens:  FT - Lawn 10/Stage Lawn,Fitzroy Gardens,FT - Lawn 10/Stage Lawn,,Y,Y,,N,N,M,,N,N,N,"103,807",0,"111,456",90.64589906,286
POINT (144.9555041821315 -37.80281698186015),343,Other Park Locations:  Bedford Street Reserve,Other Park Locations,Bedford Street Reserve,,Y,Y,,N,N,L,,N,N,N,"110,909",0,"110,909",13.33835688,137
POINT (144.96125685811245 -37.7854898349368),205,Princes Park:  PP - Ct1_F1,Princes Park,PP - Ct1_F1,,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.95044984461694 -37.79953758061649),358,Other Park Locations:  Errol St Reserve,Other Park Locations,Errol St Reserve,,Y,Y,,N,N,L,,N,N,N,"103,485",0,"103,453",32.62300772,172
POINT (144.94594900298196 -37.82253142158812),"1,416",Docklands:  All Other Spaces:  Australia Wharf,Docklands,All Other Spaces,Australia Wharf,Y,Y,,N,N,,,N,N,N,"624,154","23,302","633,207",88.43716039,4
POINT (144.9728253732698 -37.822753634054926),175,Kings Domain:  KD - Lawn 1,Kings Domain,KD - Lawn 1,,Y,Y,,Y,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.98896595113547 -37.81712741121574),402,Other Park Locations:  Weedon Reserve,Other Park Locations,Weedon Reserve,,Y,Y,,N,N,L,,N,N,N,0,"21,951","110,017",29.98397741,77
POINT (144.92377402177027 -37.793738962584186),342,Other Park Locations:  Bayswater Road Park,Other Park Locations,Bayswater Road Park,,Y,Y,,N,N,L,,Y,N,N,"100,894",0,"100,894",23.65235611,119
POINT (144.98293613155118 -37.84257424668199),"1,354",Fawkner Park:  FP - Cordner_T1_T2_T3_F2_Ct3,Fawkner Park,FP - Cordner_T1_T2_T3_F2_Ct3,,Y,N,,N,N,M,Y,N,N,N,"103,756",0,0,0,0
POINT (144.9703669487038 -37.821748399482225),223,Queen Victoria Gardens:  QV - Lawn 2,Queen Victoria Gardens,QV - Lawn 2,,Y,Y,,N,Y,L,,N,N,N,"111,022",0,"111,022",64.32289021,347
POINT (144.97402280563833 -37.81230536093349),363,Other Park Locations:  Gordon Reserve,Other Park Locations,Gordon Reserve,,Y,Y,,N,N,L,,N,N,N,"108,995",0,"543,134",63.08410675,196
POINT (144.97156729933138 -37.798366165372386),378,Other Park Locations:  Macarthur Square,Other Park Locations,Macarthur Square,,Y,Y,,N,N,L,,N,N,N,"106,290",0,"106,290",10.18379338,70
POINT (144.96748034393255 -37.81814733672473),762,Promotional Spaces:  Flinders St Station,Promotional Spaces,Flinders St Station,,Y,N,,N,N,,,N,N,N,"104,034","22,195","610,669",3.57963057,170
POINT (144.97483431619727 -37.82138186414242),5,Alexandra Gardens:  AG - Henley Landing,Alexandra Gardens,AG - Henley Landing,,Y,Y,,N,N,H,,N,N,N,"100,385",0,0,0,0
POINT (144.98077042741397 -37.81640437288307),372,Other Park Locations:  Jolimont Reserve,Other Park Locations,Jolimont Reserve,,Y,Y,,N,N,L,,N,N,N,"111,460",0,"111,460",9.69851734,185
POINT (144.9554621837315 -37.78557214679238),277,Royal Park:  RP - Lawn 6_Walker East_Ct2,Royal Park,RP - Lawn 6_Walker East_Ct2,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.96647963539363 -37.78539828659486),365,Other Park Locations:  Hardy Reserve,Other Park Locations,Hardy Reserve,,Y,Y,,N,N,L,,N,N,N,"106,380",0,"106,380",41.56399607,177
POINT (144.96485355506087 -37.829803138137365),396,Other Park Locations:  Sturt Street Reserve,Other Park Locations,Sturt Street Reserve,,Y,Y,,N,N,L,,N,N,N,"110,628",0,"110,628",36.46091337,335
POINT (144.9798342931686 -37.839308670086034),63,Fawkner Park:  FP - Lawn 17_SB1_SB2_Ct2_S7,Fawkner Park,FP - Lawn 17_SB1_SB2_Ct2_S7,,Y,N,,N,N,M,Y,Y,N,N,"103,756",0,0,0,0
POINT (144.98286097598913 -37.844590280668804),67,Fawkner Park:  FP - Lawn 21_T8_S3,Fawkner Park,FP - Lawn 21_T8_S3,,Y,Y,,Y,N,M,Y,N,N,Y,"103,756",0,0,0,0
POINT (144.96105370796076 -37.77864670473415),219,Princes Park:  PP - Lawn 6,Princes Park,PP - Lawn 6,,Y,Y,,Y,N,M,N,N,N,N,"107,696",0,"526,307",61.44025708,214
POINT (144.98172146083033 -37.84314053115123),104,Fawkner Park:  FP - Southern Pavilion Changerooms,Fawkner Park,FP - Southern Pavilion Changerooms,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,"587,544",3.76647007,242
POINT (144.9789180406222 -37.81420217875374),130,Fitzroy Gardens:  FT - Lawn 25,Fitzroy Gardens,FT - Lawn 25,,Y,Y,,N,Y,M,,N,N,N,"103,807",0,"111,454",35.42281515,159
POINT (144.97660241098285 -37.824601477463915),184,Kings Domain:  KD - Lawn 9/Pillars of Wisdom,Kings Domain,KD - Lawn 9/Pillars of Wisdom,,Y,Y,,Y,Y,M,,N,N,N,"108,615",0,0,0,0
POINT (144.9609096148945 -37.790300580548156),214,Princes Park:  PP - Lawn 1_S4,Princes Park,PP - Lawn 1_S4,,Y,Y,,Y,N,M,Y,N,N,Y,"107,696",0,0,0,0
POINT (144.92400424679198 -37.79871909767763),168,Holland Park:  HP - Pavilion,Holland Park,HP - Pavilion,,Y,N,,N,N,M,Y,N,N,N,"105,220",0,0,0,0
POINT (144.97523037379176 -37.81141955860035),345,Other Park Locations:  Burston Reserve,Other Park Locations,Burston Reserve,,Y,Y,,N,N,L,,N,N,N,"107,431",0,"107,431",16.24877343,37
POINT (144.9722702183175 -37.805870529120305),36,Carlton Gardens:  CG - Lawn 18,Carlton Gardens,CG - Lawn 18,,Y,Y,,N,Y,L,,N,N,N,"108,268",0,0,0,0
POINT (144.973021941446 -37.82711468437653),187,Kings Domain:  KD - Lawn 12,Kings Domain,KD - Lawn 12,,Y,Y,,Y,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.9703352067697 -37.80567410509057),27,Carlton Gardens:  CG - Lawn 9,Carlton Gardens,CG - Lawn 9,,Y,N,,N,Y,L,,N,N,N,"108,268",0,0,0,0
POINT (144.97200059019704 -37.80696891171134),37,Carlton Gardens:  CG - Lawn 19,Carlton Gardens,CG - Lawn 19,,Y,N,,N,Y,L,,N,N,N,"108,268",0,"546,082",89.93045975,159
POINT (144.97208336442085 -37.801873179409036),20,Carlton Gardens:  CG - Lawn 2,Carlton Gardens,CG - Lawn 2,,Y,N,,N,Y,L,,N,N,N,"108,269",0,0,0,0
