water_id,poi_id,Description,lat,lon,distance
1,1,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81437201868546,144.96613327636362,3.280500101652516
2,1,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.813314693754506,144.9666513135716,6.0242514376113165
3,1,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,8.0270028598792
4,2,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,3.885270521374765
5,2,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81437201868546,144.96613327636362,8.034561673627609
6,2,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.813314693754506,144.9666513135716,10.808495232100832
7,3,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens South,-37.80596124931496,144.97143107579004,1.2478249366860132
8,3,Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,-37.80696316737549,144.97097533310077,5.997686508354389
9,3,Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,-37.80719483579952,144.97264821832775,11.330498932420664
10,4,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81211636429392,144.96242655579448,1.4772354960783218
11,4,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811468256332006,144.9617506772221,5.019196783786834
12,4,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81027785022815,144.9610923413044,13.271400385850498
13,5,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81056708776496,144.96772094101254,3.8545098640674578
14,5,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811050947085775,144.96714245008525,8.644857923350779
15,5,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.811115148970096,144.96662794395766,11.51554124526728
16,6,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.8163642527943,144.95539891425878,5.166843459889694
17,6,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81803793542333,144.9566252834487,13.067055402009958
18,6,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81906773607154,144.95451978482612,13.527714017262378
19,7,Drinking Fountain - Leaf Type - Dog Bowl  - Flagstaff Gardens,-37.81010993947886,144.95363625566398,7.402557583201005
20,7,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.809316361164214,144.95453335359068,14.075494384641557
21,7,Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,-37.809792956338455,144.95510199726527,16.829221621367065
22,8,Drinking Fountain - Drinking Fountain - Type 1,-37.8060370483463,144.95639004511094,24.762135759545288
23,8,Drinking Fountain - Ornamental Drinking Fountain - Errol St North Melbourne,-37.80333644461803,144.94973046402842,25.593893550247433
24,8,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.802013714097406,144.95783228776227,26.85040497861411
25,9,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.803371100927336,144.96636401763814,12.500495504486938
26,9,Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Argyle Square,-37.80282308235531,144.96630068198394,15.96014528869185
27,9,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80530265416531,144.96955831322754,16.317490684400934
28,10,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81027785022815,144.9610923413044,7.802955664035754
29,10,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811005097961136,144.95862163735288,8.69286488730478
30,10,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811468256332006,144.9617506772221,13.56275394595694
31,11,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.810438177722986,144.96409803572945,1.3267971748222809
32,11,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81047950700537,144.9643462282214,2.9020053948982323
33,11,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80959362303089,144.9642403876143,5.912413630877763
34,12,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81506309138496,144.9689920380753,4.212470707554074
35,12,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,11.011519103438141
36,12,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81261776692698,144.9683505786709,12.508229949007323
37,13,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81506309138496,144.9689920380753,4.4751148554123406
