poi_interest_id,poi_id,interest_id
1,1,9
2,2,1
3,3,4
4,3,3
5,3,8
6,4,5
7,5,5
8,6,5
9,7,5
10,8,5
11,9,5
12,10,5
13,11,5
14,12,5
15,13,5
16,14,5
17,15,5
18,16,5
19,17,5
20,18,5
21,19,5
22,20,5
23,21,5
24,22,5
25,23,5
26,24,5
27,25,5
28,26,5
29,27,5
30,28,5
31,29,5
32,30,5
33,31,5
34,32,5
35,33,6
36,34,4
37,34,3
38,34,8
39,35,3
40,36,4
41,36,3
42,36,8
43,37,6
44,38,6
45,39,9
46,40,4
47,40,3
48,40,8
49,41,7
50,42,4
51,42,3
52,42,8
53,43,2
54,44,2
55,45,2
56,46,2
57,47,6
58,48,2
59,49,4
60,49,3
61,49,8
62,50,4
63,50,8
64,50,6
65,51,2
66,52,9
67,53,4
68,53,3
69,53,8
70,54,4
71,54,3
72,54,8
73,55,6
74,56,4
75,56,3
76,56,8
77,57,4
78,58,4
79,59,7
80,60,3
81,61,9
82,62,7
83,63,2
84,64,5
85,65,7
86,66,4
87,66,8
88,66,6
89,67,9
90,68,4
91,68,3
92,68,8
93,69,4
94,69,8
95,69,6
96,70,4
97,71,7
98,72,4
99,72,3
100,72,8
101,73,7
102,74,4
103,74,3
104,74,8
105,75,4
106,75,3
107,75,8
108,76,9
109,77,6
110,78,4
111,79,4
112,80,4
113,81,4
114,81,3
115,81,8
116,82,4
117,82,3
118,82,8
119,83,7
120,84,4
121,84,3
122,84,8
123,85,6
124,86,6
125,87,6
126,88,6
127,89,7
128,90,2
129,91,4
130,91,8
131,91,6
132,92,2
133,93,4
134,93,8
135,93,6
136,94,4
137,94,8
138,94,6
139,95,4
140,95,8
141,95,6
142,96,2
143,97,4
144,97,3
145,97,8
146,98,3
147,99,4
148,99,3
149,99,8
150,100,4
151,100,3
152,100,8
153,101,4
154,101,3
155,101,8
156,102,4
157,102,3
158,102,8
159,103,4
160,103,3
161,103,8
162,104,4
163,104,3
164,104,8
165,105,7
166,106,4
167,106,3
168,106,8
169,107,4
170,107,8
171,107,6
172,108,4
173,108,3
174,108,8
175,109,4
176,109,3
177,109,8
178,110,3
179,111,2
180,112,4
181,112,3
182,112,8
183,113,4
184,113,3
185,113,8
186,114,2
187,115,4
188,115,3
189,115,8
190,116,4
191,116,3
192,116,8
193,117,2
194,118,2
195,119,2
196,120,4
197,120,3
198,120,8
199,121,4
200,121,3
201,121,8
202,122,7
203,123,4
204,123,3
205,123,8
206,124,7
207,125,7
208,126,5
209,127,2
210,128,9
211,129,7
212,130,7
213,131,7
214,132,9
215,133,4
216,133,3
217,133,8
218,134,4
219,134,3
220,134,8
221,135,4
222,135,3
223,135,8
224,136,4
225,136,3
226,136,8
227,137,4
228,137,3
229,137,8
230,138,6
231,139,3
232,140,3
233,141,6
234,142,4
235,142,3
236,142,8
237,143,7
238,144,4
239,144,8
240,144,6
241,145,4
242,146,6
243,147,7
244,148,6
245,149,4
246,150,4
247,150,3
248,150,8
249,151,7
250,152,4
251,153,9
252,154,9
253,155,4
254,155,3
255,155,8
256,156,7
257,157,9
