poi_id,Name,Theme,Sub Theme,lat,lon
1,Flemington Bridge Railway Station,Transport,Railway Station,-37.788164588962104,144.939277838304
2,Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,-37.814259143201106,144.966638432727
3,The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.814885575641604,144.96729128994102
4,Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8060684577258,144.971266479841
5,St Francis Church,Place of Worship,Church,-37.8118847831837,144.962422614541
6,Wesley Church,Place of Worship,Church,-37.810157644696105,144.968168215633
7,St Augustines Church,Place of Worship,Church,-37.8169741358546,144.954862000132
8,St James Church,Place of Worship,Church,-37.8101281201969,144.952468571683
9,St Mary's Anglican Church,Place of Worship,Church,-37.8031663672997,144.953761537074
10,Romanian Orthodox,Place of Worship,Church,-37.805230729746796,144.96698644459698
11,Welsh Presbyterian Church,Place of Worship,Church,-37.8104478768313,144.959873260087
12,Church of Christ,Place of Worship,Church,-37.8104524079085,144.96388920293998
13,Scots Church,Place of Worship,Church,-37.8145687802664,144.96855105334998
14,St Michael's Uniting Church,Place of Worship,Church,-37.814385132491296,144.969174036096
15,Greek Orthodox Church,Place of Worship,Church,-37.8088064667555,144.97825908926902
16,St Peter's Eastern Hill,Place of Worship,Church,-37.8097086714637,144.975259178609
17,Lutheran Trinity Church,Place of Worship,Church,-37.8109757054396,144.975729473552
18,Holy Trinity,Place of Worship,Church,-37.8140667110854,144.98319732228902
19,St Johns Lutheran Church,Place of Worship,Church,-37.8209399677168,144.967121099857
20,North Melbourne Uniting,Place of Worship,Church,-37.8035538471344,144.947671538375
21,Melbourne Unitarian Church,Place of Worship,Church,-37.81144877733939,144.984664890999
22,All Nations Uniting Church,Place of Worship,Church,-37.7959155303946,144.968981110942
23,Our Lady of Lebanon Church,Place of Worship,Church,-37.802576653968295,144.969334720932
24,St Michaels,Place of Worship,Church,-37.7940512679297,144.945399480629
25,Ukranian Catholic Cathedral,Place of Worship,Church,-37.7963084580345,144.944313454028
26,St Alban Anglican Church,Place of Worship,Church,-37.7942169477929,144.94161451392
27,Christ Church Kensington,Place of Worship,Church,-37.7932109480553,144.92729572288
28,Holy Rosary,Place of Worship,Church,-37.7948087414394,144.928362125005
29,Collins Street Baptist Church,Place of Worship,Church,-37.8147011904647,144.968072486031
30,St Thomas Aquinas Church,Place of Worship,Church,-37.8353076902578,144.97680908047198
31,South Yarra Presbyterian Church,Place of Worship,Church,-37.8407473645397,144.98562699348
32,The Parish of Christ Church South Yarra,Place of Worship,Church,-37.8386270533576,144.986009385387
33,Melbourne Private Hospital,Health Services,Private Hospital,-37.79831113096979,144.95728837725
34,East Melbourne Synagogue,Place of Worship,Synagogue,-37.809113728917,144.97422190953998
35,State Netball Hockey Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.7857860016289,144.947580972027
36,University Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.800410711209004,144.96039831930202
37,Port of Melbourne,Transport,Transport Terminal,-37.8137384362671,144.91753432375
38,Royal Park Golf Course,Leisure/Recreation,Private Sports Club/Facility,-37.781917130855796,144.956309119368
39,Powlett Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.811692988249796,144.987275671763
40,Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,-37.7840864379557,144.961967841559
41,Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.7834303940347,144.96198257755302
42,Queen Victoria Market,Retail,Retail,-37.8075002018073,144.957158515056
43,Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.80176908474029,144.971997551189
44,Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,-37.8077644149636,144.965463853978
45,Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.825523979583295,144.974107925144
46,FairFax Studio,Place Of Assembly,Theatre Live,-37.821668458188704,144.968836241692
47,Playhouse,Place Of Assembly,Theatre Live,-37.8218124583016,144.968337832721
48,State Theatre,Place Of Assembly,Theatre Live,-37.8212806349773,144.968469643744
49,St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,-37.8352429531289,144.98114217385
50,Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,-37.7908082646624,144.912142987372
51,Southern Cross Railway Station,Transport,Railway Station,-37.8181633057171,144.952944748845
52,Princess Theatre,Place Of Assembly,Theatre Live,-37.8107257091302,144.97232659620002
53,Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8143993575938,144.975952335785
54,State Library Victoria,Community Use,Public Buildings,-37.8099852201226,144.964330322397
55,Regent Theatre,Place Of Assembly,Theatre Live,-37.816001474417895,144.967916735261
56,Treasury Reserve,Mixed Use,Retail/Office,-37.8129178793082,144.975236759799
57,Epworth Freemasons Hospital : Medical Centre,Health Services,Private Hospital,-37.8093444587231,144.982336768182
58,Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8218460949601,144.956665812218
59,Flagstaff Railway Station,Transport,Railway Station,-37.8122356514626,144.956318211113
60,Richmond Football Club,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216740022008,144.988156318781
61,Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,-37.8194921618419,144.983402879078
62,Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.784444925371204,144.951371205938
63,Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8252455123297,144.95435243249
64,Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.82490404846529,144.952288281644
65,Polly Woodside,Place Of Assembly,Art Gallery/Museum,-37.8242574266145,144.95347805206399
66,Melbourne International Shooting Club,Leisure/Recreation,Private Sports Club/Facility,-37.8292844929826,144.91341580246402
67,Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,-37.820224578659705,144.965989052839
68,Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,-37.8266045432686,144.967252924593
69,Malthouse Theatre,Place Of Assembly,Theatre Live,-37.8271768001126,144.966936821789
70,St Patricks Cathedral,Place of Worship,Church,-37.810114095047396,144.97590152971202
71,Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,-37.8219947335768,144.968837288153
72,Melbourne Town Hall,Community Use,Public Buildings,-37.8150754791411,144.966542722283
73,DFO South Wharf,Mixed Use,Retail/Office,-37.824887401234,144.949794297819
74,Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.821638124489105,144.971049530478
75,Sidney Myer Music Bowl,Community Use,Public Buildings,-37.8233471608733,144.974686151365
76,Crown Entertainment Complex,Purpose Built,Casino,-37.8235761092516,144.957312880653
77,The Royal Victorian Eye & Ear Hospital,Health Services,Public Hospital,-37.808752282986795,144.976268275082
78,The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,-37.8174831423197,144.969899048343
79,Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8178516571684,144.968963600783
80,Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,-37.8188662730911,144.9839700954
81,New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8152178789077,144.941617889032
82,Central City Studios,Purpose Built,Film & RV Studio,-37.8142318521296,144.935655305362
83,Channel 7 - Melbourne Broadcast Centre,Purpose Built,Film & RV Studio,-37.815857233348105,144.94582326909
84,Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8209956785618,144.946781702342
85,Waterfront City,Mixed Use,Retail/Office,-37.815056661803006,144.939136876334
86,AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.824725267396296,144.98380297866
87,New Quay Marina,Transport,Marina,-37.8152925454954,144.942283726231
88,Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8165177307702,144.94347501421498
