,index,name,female,male,wheelchair,operator,baby_facil,lat,lon,distance
0,46,"Public Toilet - Queen Victoria Market - (Meat Hall / ""H"" Shed)",yes,yes,no,City of Melbourne,no,-37.80682129201847,144.95874700464088,1.1583363104436553
1,52,Public Toilet - Queen Victoria Market (Food Court - 65-81 Victoria Street),yes,yes,no,City of Melbourne,no,-37.806379618970524,144.95905779158946,3.7618521129483065
2,57,Public Toilet - Queen Victoria Market (465 Queen Street),yes,yes,yes,City of Melbourne,yes,-37.807831221471965,144.95795526595654,8.164045587968536
3,29,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),yes,yes,yes,City of Melbourne,no,-37.8082334704767,144.96018687493768,11.66757014695364
4,2,Public Toilet - Queen Victoria Market (153 Victoria Street),yes,yes,no,City of Melbourne,no,-37.80612149907781,144.95653844268273,15.76085341628059
5,0,Public Toilet - Toilet 140 - Queensberry Street (Opposite 286 Queensberry Street),no,yes,no,City of Melbourne,no,-37.803994634967296,144.95909066756946,18.851593702074226
6,38,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),yes,no,no,City of Melbourne,no,-37.806805767380254,144.96264850030644,23.89627625617153
7,7,Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),yes,yes,yes,City of Melbourne,no,-37.80891324235132,144.95504018635694,27.411087148729408
8,5,Public Toilet - Toilet 142 - Queensberry Street (Adjacent 179 Queensberry Street),no,yes,no,City of Melbourne,no,-37.80463970714722,144.96285021945613,29.13700925091707
9,68,Public Toilet - Toilet 179 - Lincoln Square (138-142 Bouverie Street),yes,yes,yes,City of Melbourne,no,-37.80271182455448,144.9622681269577,34.48753837111168
10,26,Public Toilet - Toilet 36 - Lonsdale Street (Opposite 424 Lonsdale Street),yes,yes,yes,City of Melbourne,U,-37.8129330992456,144.9600121469519,38.86949102415829
11,18,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,City of Melbourne,no,-37.80894206847336,144.96564884552268,44.75482257966412
12,13,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,City of Melbourne,no,-37.81343920794399,144.9629227264507,48.708134009545944
13,4,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),yes,no,no,City of Melbourne,no,-37.813837792176315,144.96309721024045,51.45327882017673
14,14,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),yes,yes,yes,City of Melbourne,no,-37.814345522392365,144.9551179464378,52.89976921129291
15,58,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),yes,yes,yes,City of Melbourne,no,-37.80207629420745,144.96642403988702,57.02197210791747
16,69,Public Toilet - Toilet 43 - Queen Street (opposite 113 Queen Street),yes,yes,yes,City of Melbourne,no,-37.815838165017645,144.9610620730027,58.39025088054768
17,67,Public Toilet - Toilet 13 - Queensberry Street (Opposite 530 Queensberry Street),,,,City of Melbourne,no,-37.803094275484256,144.94994632091922,61.76338296203989
18,45,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),no,yes,no,City of Melbourne,no,-37.803077866412245,144.94986517956968,62.27734619638864
19,61,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,City of Melbourne,no,-37.81324543360198,144.96689658968143,64.77894107318446
20,15,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,City of Melbourne,no,-37.80625893301874,144.9692027022002,65.58767736048067
21,20,Public Toilet - Toilet 4 - Market Street (Opposite 74 Market Street),yes,yes,yes,City of Melbourne,no,-37.81746989209639,144.96025433528794,67.70038888873519
22,39,Public Toilet - Toilet 12 - Exhibition Street (Opposite 242 Exhibition Street),no,yes,no,City of Melbourne,no,-37.80954604636232,144.9694071187106,68.76088786626973
